fetch_timestamp_utc,data_timestamp_utc,symbol,last_price,mark_price,index_price,open_interest,funding_rate
2026-05-13T13:00:03.130750+00:00,2026-05-13T13:00:00+00:00,DOTUSDT,1.3613,1.3618,1.3629,15672036.4,0.0001
2026-05-13T13:00:03.256256+00:00,2026-05-13T13:00:00+00:00,TRXUSDT,0.35030,0.35030,0.35043,111672214,0.0001
2026-05-13T14:00:03.610070+00:00,2026-05-13T14:00:00+00:00,BTCUSDT,79567.00,79574.75,79619.69,53395.948,0.00001956
2026-05-13T14:00:03.731140+00:00,2026-05-13T14:00:00+00:00,ETHUSDT,2259.41,2259.50,2260.97,829468.46,0.00001215
2026-05-13T14:00:03.841096+00:00,2026-05-13T14:00:00+00:00,SOLUSDT,92.120,92.132,92.165,7000050.3,0.00000707
2026-05-13T14:00:03.946900+00:00,2026-05-13T14:00:00+00:00,XRPUSDT,1.4245,1.4248,1.4255,173360571.5,0.00006317
2026-05-13T14:00:04.057661+00:00,2026-05-13T14:00:00+00:00,ADAUSDT,0.2651,0.2652,0.2654,263576654,0.00003379
2026-05-13T14:00:04.167737+00:00,2026-05-13T14:00:00+00:00,DOGEUSDT,0.11035,0.11029,0.11044,1489022380,0.0001
2026-05-13T14:00:04.275061+00:00,2026-05-13T14:00:00+00:00,LINKUSDT,10.191,10.191,10.199,6510662.1,-0.00008808
2026-05-13T14:00:04.388453+00:00,2026-05-13T14:00:00+00:00,AVAXUSDT,9.748,9.752,9.760,6498812,0.00001963
2026-05-13T14:00:04.500598+00:00,2026-05-13T14:00:00+00:00,BNBUSDT,666.80,666.66,667.29,155342.86,0.0001
2026-05-13T14:00:04.607635+00:00,2026-05-13T14:00:00+00:00,LTCUSDT,57.14,57.13,57.17,1010889.3,0.0001
2026-05-13T14:00:04.720103+00:00,2026-05-13T14:00:00+00:00,BCHUSDT,431.40,431.44,431.73,112752.94,-0.00008959
2026-05-13T14:00:04.864884+00:00,2026-05-13T14:00:00+00:00,APTUSDT,1.0618,1.0615,1.0627,18758659.22,-0.0001561
2026-05-13T14:00:04.981384+00:00,2026-05-13T14:00:00+00:00,ARBUSDT,0.13374,0.13370,0.13385,262663325.4,-0.00009498
