symbol,side,entry_time,exit_time,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,net_pnl_pct,pnl_portfolio_pct,exit_reason,mfe_atr,mae_atr,bars_held,rsi_14,adx_1h,adx_prev_1h,vol_ratio,atr,ema20,ema50,ema200,btc_adx,btc_ema20,btc_ema50,btc_ema200,btc_regime_pass,confirmation_type,had_pullback,close_position,execution_model,balance_before_entry,balance_before_exit,balance_after_exit,forward_return_4bars,forward_return_8bars
APTUSDT,long,2023-06-21 14:00:00,2023-06-21 16:00:00,5892,5894,7.287,7.287,0.0,-0.13999999999999999,-0.13995099999998217,BREAK_EVEN_SL,2.8253557567917214,0.3984476067270336,2,59.503979953089676,30.025300484013027,29.62824337107404,1.3732262466626892,0.1104285714285715,7.158234855376733,7.043035303277165,6.814657603919623,69.28126514013327,28637.28176087034,27879.81692247852,26769.576490759435,True,vol_and_rsi,True,0.9329268235797137,enter_on_signal_bar_close,100.0,99.93,99.86004900000002,3.032798133662688,2.7995059695347844
SOLUSDT,long,2023-06-21 17:00:00,2023-06-22 00:00:00,21521,21528,16.986,17.689714285714288,4.142907604581935,4.002907604581935,1.3589990000000285,TAKE_PROFIT,3.031059683313021,0.13641900121802666,7,64.0237588854924,40.69000691380528,40.39581815129849,1.409207909484728,0.234571428571429,16.721485086054916,16.392570742172374,16.000268965784496,73.47615323307586,28999.301068762517,28122.81747376707,26865.82290437645,True,volume_candle,True,0.6112956790322398,enter_on_signal_bar_close,99.86004900000002,99.79014696570003,101.21714606730956,0.0529848110208427,3.3792535028847173
BCHUSDT,long,2023-06-23 01:00:00,2023-06-23 12:00:00,21673,21684,137.88,145.31142857142856,5.389779932860871,5.249779932860871,1.3589990000000198,TAKE_PROFIT,3.399077277970017,0.46424452133794913,11,60.2449043553688,30.312487296127895,29.643287553404843,2.135418006419235,2.4771428571428578,134.89383436347055,130.50645095490137,116.8420310080673,26.118406985540343,29990.8288640392,29522.61838431896,27744.936922596204,True,rsi_rebound,True,0.40155038753464284,enter_on_signal_bar_close,98.5842294177889,98.51522045719646,99.92398810973438,3.0751378009863717,4.163040324920227
OPUSDT,long,2023-09-14 00:00:00,2023-09-14 04:00:00,11266,11270,1.3799,1.3477428571428574,-2.3303966125909525,-2.4703966125909527,-1.1392509999999862,STOP_LOSS,0.031097290093302504,2.0151043980453283,4,62.855296033261254,33.32849007322342,33.15952160897199,1.404779741578417,0.0160785714285713,1.3571062317953158,1.3389242316172218,1.322250329142785,38.63072123266627,26158.95172174878,26004.31520701775,25892.94385374445,True,vol_and_rsi,True,0.9798270611000806,enter_on_signal_bar_close,99.86004900000002,99.79014696570003,98.72239239316704,-2.1233422711790624,-2.5219218783969812
LINKUSDT,long,2023-10-16 22:00:00,2023-10-17 12:00:00,24454,24468,7.57,7.384714285714286,-2.4476316286091744,-2.5876316286091745,-1.13925099999999,STOP_LOSS,0.043176561295292105,2.234387047031611,14,60.919016020656365,48.65163618623369,47.99109279763249,0.5765799208687701,0.0926428571428571,7.495649714508307,7.4393197055400595,7.389159759678779,74.95918693987862,28012.03834541808,27561.74388243138,27255.100156111832,True,rsi_rebound,True,0.9999999864864867,enter_on_signal_bar_close,98.86074900000001,98.79154647570002,97.73447692841003,-0.9907529722589191,-1.585204755614268
BNBUSDT,long,2023-10-22 05:00:00,2023-10-22 07:00:00,24581,24583,216.08,213.89142857142858,-1.0128523827153997,-1.1528523827153996,-1.1392509999999874,STOP_LOSS,0.7310704960835341,2.16579634464752,2,63.52695656117182,30.1711175250652,28.90927031670576,1.403257553885558,1.094285714285716,214.4711432718328,213.5727561966987,211.65794613587653,39.36999885405311,29903.3947239013,29634.54604230193,28621.811191573448,True,volume_candle,True,0.6375838921895486,enter_on_signal_bar_close,100.0,99.93,98.86074900000001,-0.8654202147352854,-0.49981488337653296
FTMUSDT,long,2023-10-24 09:00:00,2023-10-24 15:00:00,24513,24519,0.2358,0.222557142857143,-5.616139585605174,-5.756139585605173,-1.1392509999999845,STOP_LOSS,0.6040992448759509,3.0204962243797544,6,63.61944773936227,36.76974013821504,36.28075673697187,0.5362033654708871,0.0066214285714285,0.2280449226497179,0.2193348877423213,0.1984095777346947,59.48091508230556,33083.768141744666,31773.51675822669,29755.311150754394,True,rsi_rebound,True,0.8437498681640834,enter_on_signal_bar_close,98.5842294177889,98.51522045719646,97.46110759830447,-0.8057675996607349,-5.810008481764214
NEARUSDT,long,2023-11-02 16:00:00,2023-11-03 00:00:00,24736,24744,1.517,1.517,0.0,-0.13999999999999999,-0.1399509999999969,BREAK_EVEN_SL,1.7500000000000082,1.24519230769231,8,64.14486652688956,43.66362812729483,43.06382121841102,2.058615385499514,0.0297142857142856,1.47727873822657,1.4312140516437013,1.2921138858736227,35.15559878073064,35073.49496193625,34896.58083056233,34023.92087243962,True,vol_and_rsi,True,0.7241379185493452,enter_on_signal_bar_close,97.73447692841003,97.66606279456015,97.59769655060396,2.109426499670404,-1.845748187211589
LTCUSDT,long,2023-11-05 17:00:00,2023-11-06 01:00:00,24809,24817,71.62,71.62,0.0,-0.13999999999999999,-0.1399509999999955,BREAK_EVEN_SL,1.6764705882353006,1.0735294117647154,8,61.92238827682054,30.72363046775391,30.06324473233043,1.3934090167695965,0.6799999999999977,70.79706141015903,70.2068878842186,69.09850652248672,26.10787256766184,34997.17017550559,34902.09377411995,34428.738213697434,True,vol_and_rsi,True,0.7043478254744873,enter_on_signal_bar_close,98.86074900000001,98.79154647570002,98.72239239316703,0.15358838313320222,0.20943870427253766
BNBUSDT,long,2023-11-21 15:00:00,2023-11-21 17:00:00,25311,25313,264.72,254.85428571428574,-3.726848853775419,-3.8668488537754193,-1.13925099999999,STOP_LOSS,0.4419345496669455,5.755285259194898,2,61.058465344280336,35.87585714146669,34.89624408093902,7.903092189749493,4.9328571428571495,258.38151556983564,254.01712333306472,248.45844086329137,34.311500698738115,37225.99090458781,37160.49177155426,36758.051290740215,True,vol_and_rsi,True,0.6918767506725946,enter_on_signal_bar_close,98.86074900000001,98.79154647570002,97.73447692841003,-9.20595346025991,-14.755213055303726
